fold,model,n_rows,corr,mae,rmse
0,Naive persistence (no model),6030,0.9626601604074367,17.573934705635814,38.554167858862634
0,"Stage 2 RF, official",6030,0.9665698499837576,17.351477571396444,37.43030540608713
0,Blended (w*RF + (1-w)*persistence),6030,0.9650869756977497,17.083037871738274,37.21049044625834
1,Naive persistence (no model),5023,0.9329936556812564,4.620541527104494,17.597085628271138
1,"Stage 2 RF, official",5023,0.9507515498660457,4.482466704515743,15.126263175908027
1,Blended (w*RF + (1-w)*persistence),5023,0.9415141550171058,4.477396414406364,16.392146655677607
2,Naive persistence (no model),5025,0.7606757766368366,5.930455143265409,22.291890936844105
2,"Stage 2 RF, official",5025,0.7535960959886221,9.447433075341802,22.856400942340244
2,Blended (w*RF + (1-w)*persistence),5025,0.7943542048918292,7.389568888598079,20.535061381004954
3,Naive persistence (no model),4020,0.8923398806929057,12.084528597026171,27.928567359377542
3,"Stage 2 RF, official",4020,0.9181909015248513,11.906795474444065,24.57333890569215
3,Blended (w*RF + (1-w)*persistence),4020,0.9044949152218362,11.6243357811429,26.252211948608938
4,Naive persistence (no model),5025,0.887645804293325,5.883968648997479,18.233648055833932
4,"Stage 2 RF, official",5025,0.9216031162147604,5.5312860849424785,14.978068829204947
4,Blended (w*RF + (1-w)*persistence),5025,0.9008113338845449,5.635072951987689,16.95398409591264
